id,age,gender,switch.h2w,switch.w2h,gcos.auto,gcos.cont,gcos.impe,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,triptype,info,familiarity,choice,time
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,C,P,1,5
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,V,R,1,60
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,V,P,1,25
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,B,L,1,15
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,V,P,1,5
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,C,R,1,10
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,F,P,1,5
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,F,R,2,30
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,B,L,1,4.03
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,F,R,1,8.72
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,C,R,1,10.45
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,C,R,1,9.99
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,F,P,1,7.2
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,F,P,1,1.47
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,C,P,1,4.54
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,F,P,1,7.53
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,F,R,1,6.69
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,B,L,1,3.56
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,B,L,1,15.41
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,C,P,1,2.1
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,C,R,1,4.06
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,V,P,1,3.11
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,F,R,1,2.96
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,V,R,1,3.83
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2H,V,R,1,2.06
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2W,C,P,1,3.51
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,W2F,V,R,1,5.21
1,21,Male,Once a week,Once a week,5.50,4.42,4.00,3.5,3,3.25,2.25,2.25,2.75,H2F,V,P,1,3.33
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,V,P,1,2
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,F,R,1,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,C,P,2,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,F,R,1,11
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,F,P,1,16
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,V,R,1,7
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,F,R,1,21
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,B,L,1,5
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,C,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,B,L,1,5
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,F,P,1,11
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,C,P,1,23
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,C,R,2,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,C,R,1,7
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,V,P,1,5
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,C,R,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,B,L,1,11
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,C,P,1,7
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,V,R,1,7
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,V,P,1,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,V,R,2,12
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,F,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,C,R,1,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,F,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,F,R,1,5
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,V,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,B,L,1,4
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,V,R,1,6
